timestamp_utc	actor	decision	evidence	result
2026-09-02T22:30:38Z	Codex	Use an isolated documentation worktree based on origin/main	git worktree list and git status	Preserves all user branches and the dirty image attachment worktree
2026-09-02T22:30:38Z	Codex	Treat src/grok-codex-router as the product and exclude src/grokbot-shim	Repository instructions and source boundaries	Keeps the release focused on the installed Sand router
2026-09-02T22:30:38Z	Codex	Defer the Codex transport choice to a live conformance bakeoff	Current direct transport is private while App Server dynamic tools are experimental	PR1 becomes a release gate instead of assuming either bridge is safe
2026-09-02T22:30:38Z	Codex	Keep Bun in the first public release unless install evidence rejects it	control/telemetry.ts imports bun:sqlite	Avoids a runtime rewrite that does not improve the first user outcome
2026-09-02T22:30:38Z	Codex	Ship one selected bridge and one supported install boundary	Outcome-oriented execution and boundary discipline	No permanent dual transport and no host-wide compatibility promise
2026-09-02T22:30:38Z	Codex	Use five dependent PRs	Shared runtime, installer, compatibility state, and release workflow must settle in order	Keeps each merge independently verifiable and rollback-safe
2026-09-02T22:30:38Z	Codex	Fail live proof closed on this planning host	No Sand host, router CLI, supervisor status, data directory, or native Grok control capability was detected	Transport and native update behavior remain unproven until PR execution
2026-09-02T22:43:05Z	Codex	Reread the global Codex guidance in full at the operator's request	Global Codex guidance	Added the required design arena and retained operator-only merge and release authority
2026-09-02T22:43:05Z	Codex	Use the common Grok Sand as the public portability boundary	Current runtime depends on Linux Sand paths and process interfaces	Avoids unsupported native host installers while covering x86_64 and arm64 Sand guests
2026-09-02T22:43:05Z	Codex	Allow an experimental bridge to publish a prerelease only	Official App Server docs mark dynamic tools experimental and WebSocket unsupported	Stable and latest labels require a passing non-experimental official tool path
2026-09-02T22:43:05Z	Codex	Keep upstream fork lineage and MIT attribution	Public fork and LICENSE history	Avoids authorship rewriting and gives users transparent provenance
2026-09-02T22:43:05Z	Poteto delegate	Critiqued transport installer patch recovery control and release boundaries read-only	No files edited and no provider request run	Confirmed private transport unowned backup non-atomic patch hardcoded paths and missing release workflow
2026-09-02T22:54:10Z	Arena cross-judge	Selected Candidate 1 with grafts from Candidates 2 and 3	Three isolated candidates and one independent scorecard	Keep a decision-only first PR use current-doc release labels start blocked and point the host at a stable current install root
2026-09-02T22:54:10Z	Codex	Reduce the plan from five PRs to four	All three candidates and the cross-judge converged on the smaller stack	Combine selected bridge packaging and transactional lifecycle as one public install boundary
2026-09-02T22:59:37Z	Codex	Supersede the proposed four-PR compression and retain five PRs	The packaged runtime is independently runnable while installer lifecycle work adds destructive host mutation rollback and uninstall	Keep production bridge packaging and lifecycle mutation as separate review and revert boundaries
2026-09-02T23:13:29Z	Codex	Close the adversarial review findings	Direct transport is fixture-only minimum compatibility data ships before mutation lane boot classes are explicit and negative claims use machine receipts	Retain five ordered PRs with GCR-3 GCR-4 and GCR-5 operator-gated
2026-09-02T23:13:29Z	Codex	Pass the final Poteto plan check	Installed check-plan reported five PR sections and zero problems	Plan is ready for operator review while live Sand execution remains blocked until explicit go
2026-09-02T23:30:51Z	Codex	Correct the App Server maturity boundary before GCR-1 implementation	Current official docs describe stable and experimental API fields while Codex CLI 0.151.0 labels the command experimental and keeps dynamicTools capability-gated	https://learn.chatgpt.com/docs/app-server and codex app-server --help	alpha ceiling retained for the selected experimental tool handoff
2026-09-03T00:10:54Z	Codex	Add native-image compatibility to the transport gate	The separate fix preserves native bytes trusted attachment roots size and MIME limits and non-image redaction	GCR-1 plain-turn image subcase and wire regression list	No bridge can be selected before native image input passes
